,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,public_information_campaigns,facial_coverings,vaccination_policy,date,location_key,stringency_index
121045,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,2020-10-13,GB,60.19
121046,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,2020-10-14,GB,60.19
121047,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,2020-10-15,GB,60.19
121048,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,2020-10-16,GB,60.19
121049,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,2020-10-17,GB,60.19
121050,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,2020-10-18,GB,60.19
121051,3.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,2020-10-19,GB,65.74
121052,3.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,2020-10-20,GB,65.74
121053,3.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,2020-10-21,GB,65.74
121054,3.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,2020-10-22,GB,67.59
121055,3.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-10-23,GB,75.0
121056,3.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-10-24,GB,75.0
121057,3.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-10-25,GB,75.0
121058,3.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-10-26,GB,75.0
121059,3.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-10-27,GB,75.0
121060,3.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-10-28,GB,75.0
121061,3.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-10-29,GB,75.0
121062,3.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-10-30,GB,75.0
121063,3.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-10-31,GB,75.0
121064,3.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-11-01,GB,75.0
121065,3.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-11-02,GB,75.0
121066,3.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-11-03,GB,75.0
121067,3.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-11-04,GB,75.0
121068,3.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-11-05,GB,75.0
121069,3.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,2020-11-06,GB,72.22
121070,3.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,2020-11-07,GB,72.22
121071,3.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,2020-11-08,GB,72.22
121072,1.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,2020-11-09,GB,66.67
121073,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,2020-11-10,GB,64.81
121074,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,2020-11-11,GB,64.81
121075,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,2020-11-12,GB,64.81
121076,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,2020-11-13,GB,64.81
121077,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,2020-11-14,GB,64.81
121078,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,2020-11-15,GB,64.81
121079,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,2020-11-16,GB,64.81
121080,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,2020-11-17,GB,64.81
121081,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,2020-11-18,GB,64.81
121082,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,2020-11-19,GB,64.81
121083,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-11-20,GB,67.59
121084,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-11-21,GB,67.59
121085,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-11-22,GB,67.59
121086,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-11-23,GB,67.59
121087,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-11-24,GB,67.59
121088,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-11-25,GB,67.59
121089,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-11-26,GB,67.59
121090,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-11-27,GB,67.59
121091,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-11-28,GB,67.59
121092,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-11-29,GB,67.59
121093,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-11-30,GB,67.59
121094,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-12-01,GB,67.59
121095,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-12-02,GB,67.59
121096,1.0,2.0,2.0,4.0,1.0,0.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-12-03,GB,63.89
121097,1.0,2.0,2.0,4.0,1.0,0.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-12-04,GB,63.89
121098,1.0,2.0,2.0,4.0,1.0,0.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-12-05,GB,63.89
121099,1.0,2.0,2.0,4.0,1.0,0.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-12-06,GB,63.89
121100,1.0,2.0,2.0,4.0,1.0,0.0,2.0,2.0,2.0,2.0,3.0,0.0,2020-12-07,GB,63.89
121101,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2020-12-08,GB,67.59
121102,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2020-12-09,GB,67.59
121103,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2020-12-10,GB,67.59
121104,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2020-12-11,GB,67.59
121105,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2020-12-12,GB,67.59
121106,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2020-12-13,GB,67.59
121107,3.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2020-12-14,GB,73.15
121108,3.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2020-12-15,GB,73.15
121109,3.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2020-12-16,GB,73.15
121110,3.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2020-12-17,GB,73.15
121111,3.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2020-12-18,GB,73.15
121112,3.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2020-12-19,GB,76.85
121113,3.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2020-12-20,GB,76.85
121114,3.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2020-12-21,GB,76.85
121115,3.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2020-12-22,GB,76.85
121116,3.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2020-12-23,GB,76.85
121117,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2020-12-24,GB,79.63
121118,3.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2020-12-25,GB,75.46
121119,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2020-12-26,GB,79.63
121120,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2020-12-27,GB,79.63
121121,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2020-12-28,GB,79.63
