,search_trends_fever,search_trends_low_grade_fever,search_trends_chills,search_trends_cough,search_trends_shallow_breathing,search_trends_shortness_of_breath,search_trends_fatigue,search_trends_muscle_weakness,search_trends_cluster_headache,search_trends_headache,search_trends_sore_throat,search_trends_nasal_congestion,search_trends_nausea,search_trends_vomiting,search_trends_diarrhea,date,location_key
8948,23.58,0.53,0.88,19.55,0.12,2.26,6.01,0.19,0.27,5.64,5.83,2.21,1.82,3.58,4.91,2020-03-15,GB
8949,32.51,0.84,1.25,22.72,0.15,2.77,6.0,0.21,0.28,5.48,6.42,1.88,1.85,3.65,4.61,2020-03-16,GB
8950,35.94,0.9,1.43,24.53,0.18,2.94,5.65,0.22,0.27,5.35,12.35,1.97,1.64,3.2,4.15,2020-03-17,GB
8951,29.11,0.78,0.92,19.77,0.15,2.48,6.2,0.19,0.27,4.69,6.83,2.06,1.79,3.36,4.98,2020-03-18,GB
8952,21.01,0.5,0.8,17.15,0.12,2.04,5.01,0.17,0.24,4.56,5.1,1.78,1.39,2.61,3.83,2020-03-19,GB
8953,17.46,0.4,0.71,15.95,0.14,1.98,4.21,0.17,0.29,3.96,4.7,1.69,1.36,2.4,6.11,2020-03-20,GB
8954,17.78,0.41,0.79,17.89,0.12,2.14,4.94,0.16,0.25,4.81,7.97,2.17,1.59,2.53,3.99,2020-03-21,GB
8955,17.92,0.42,0.75,17.88,0.12,2.38,5.15,0.16,0.24,4.51,6.42,2.06,1.49,2.51,3.66,2020-03-22,GB
8956,16.29,0.38,0.74,15.21,0.12,2.39,4.67,0.2,0.26,4.37,5.38,1.93,1.4,2.27,3.48,2020-03-23,GB
8957,15.12,0.45,0.75,13.66,0.09,2.11,4.68,0.16,0.23,4.25,4.12,1.96,1.47,2.38,3.33,2020-03-24,GB
8958,15.1,0.93,0.66,13.15,0.19,1.99,4.62,0.16,0.29,4.49,4.16,1.94,1.36,2.18,3.52,2020-03-25,GB
8959,12.9,0.37,0.66,12.22,0.15,2.07,4.73,0.12,0.95,5.1,4.03,1.99,1.43,2.32,3.54,2020-03-26,GB
8960,14.45,0.36,0.69,12.45,0.12,2.05,5.06,0.15,0.3,4.43,4.57,2.03,1.5,2.41,3.5,2020-03-27,GB
8961,13.78,0.38,0.73,12.41,0.15,2.19,5.23,0.11,0.34,5.15,3.88,2.17,1.74,2.65,3.69,2020-03-28,GB
8962,11.48,0.28,0.68,11.36,0.06,2.18,5.21,0.12,0.32,4.98,3.63,2.06,3.4,4.14,3.7,2020-03-29,GB
8963,10.51,0.28,0.53,10.38,0.08,1.86,5.08,0.15,0.29,4.85,3.03,1.86,2.7,3.4,3.49,2020-03-30,GB
8964,9.9,0.26,0.46,9.19,0.14,1.86,5.14,0.16,0.33,4.93,2.94,1.8,1.74,2.55,3.41,2020-03-31,GB
8965,8.84,0.21,0.53,9.08,0.09,1.72,5.28,0.15,0.33,4.68,2.82,1.85,2.1,2.72,3.47,2020-04-01,GB
8966,8.37,0.21,0.51,8.92,0.12,1.8,5.22,0.17,0.28,4.64,2.82,1.64,2.32,2.93,3.61,2020-04-02,GB
8967,8.19,0.18,0.47,8.17,0.1,1.63,4.71,0.16,0.28,4.54,2.78,1.67,1.81,2.47,3.36,2020-04-03,GB
8968,9.06,0.27,0.47,8.2,0.11,1.71,5.12,0.17,0.32,5.21,2.78,1.7,2.47,3.21,3.46,2020-04-04,GB
8969,8.8,0.25,0.35,8.66,0.11,1.59,5.37,0.19,0.31,5.39,2.77,1.69,1.81,2.59,3.58,2020-04-05,GB
8970,10.05,0.32,0.47,8.97,0.15,2.14,5.45,0.18,0.32,5.14,2.9,1.73,1.75,2.53,3.48,2020-04-06,GB
8971,8.6,0.22,0.4,8.51,0.13,1.96,5.92,0.16,0.36,5.13,2.8,1.58,1.7,2.28,3.36,2020-04-07,GB
8972,7.95,0.16,0.3,7.46,0.07,1.6,5.15,0.18,0.34,4.95,2.58,1.55,1.65,2.26,3.47,2020-04-08,GB
8973,7.21,0.22,0.33,7.1,0.11,1.51,5.11,0.15,0.29,4.64,2.39,1.4,1.77,2.27,3.53,2020-04-09,GB
8974,7.24,0.18,0.38,6.75,0.08,1.47,4.95,0.19,0.31,4.96,2.22,1.56,1.74,2.5,3.3,2020-04-10,GB
8975,6.59,0.12,0.24,6.25,0.11,1.4,5.14,0.21,0.28,4.61,2.18,1.54,1.76,2.49,3.34,2020-04-11,GB
8976,6.45,0.21,0.33,6.24,0.15,1.43,5.09,0.16,0.34,4.86,2.15,1.32,1.85,2.67,3.4,2020-04-12,GB
8977,6.61,0.14,0.34,6.59,0.05,1.46,5.55,0.16,0.24,4.73,2.19,1.4,1.92,2.48,3.57,2020-04-13,GB
8978,5.92,0.16,0.38,6.44,0.12,1.49,5.33,0.21,0.26,4.95,2.24,1.49,1.98,2.52,3.31,2020-04-14,GB
8979,6.11,0.15,0.35,5.97,0.1,1.37,5.2,0.18,0.33,5.39,2.17,1.5,1.75,2.29,3.4,2020-04-15,GB
8980,6.05,0.12,0.38,5.4,0.09,1.3,4.95,0.15,0.31,4.82,1.98,1.39,1.67,2.23,3.06,2020-04-16,GB
8981,5.19,0.12,0.34,5.54,0.09,1.27,4.79,0.17,0.22,4.57,2.11,1.34,1.72,2.15,3.06,2020-04-17,GB
8982,5.58,0.14,0.39,6.07,0.1,1.28,5.28,0.12,0.28,5.16,2.0,1.52,1.94,2.6,3.25,2020-04-18,GB
8983,7.83,0.09,0.32,5.33,0.08,1.17,5.1,0.14,0.3,4.84,1.9,1.46,2.01,2.58,3.52,2020-04-19,GB
8984,5.08,0.12,0.36,5.07,0.09,1.27,5.36,0.2,0.24,4.4,1.9,1.34,1.81,2.41,3.34,2020-04-20,GB
8985,4.71,0.1,0.34,4.82,0.08,1.25,5.36,0.16,0.26,4.25,1.84,1.35,1.83,2.41,3.49,2020-04-21,GB
8986,5.38,0.09,0.25,4.53,0.1,1.18,5.09,0.26,0.3,4.68,1.6,1.18,1.72,2.3,3.42,2020-04-22,GB
8987,4.8,0.09,0.27,4.72,0.11,1.16,5.09,0.15,0.28,4.46,1.69,1.23,1.56,2.18,3.35,2020-04-23,GB
8988,4.3,0.11,0.2,4.2,0.07,1.15,4.71,0.19,0.24,4.43,1.47,1.26,1.68,2.35,3.41,2020-04-24,GB
8989,4.15,0.08,0.23,4.28,0.08,0.99,4.9,0.17,0.27,4.99,1.73,1.33,1.88,2.64,3.63,2020-04-25,GB
8990,4.77,0.15,0.3,4.62,0.08,1.3,5.49,0.16,0.24,5.18,2.13,1.34,1.95,2.79,3.71,2020-04-26,GB
8991,9.76,0.13,0.29,4.77,0.13,1.16,5.43,0.2,0.27,4.55,1.74,1.06,1.83,2.48,3.87,2020-04-27,GB
8992,11.49,0.12,0.31,5.13,0.07,1.3,5.61,0.21,0.22,4.63,1.75,1.28,2.11,2.91,3.78,2020-04-28,GB
8993,7.19,0.09,0.3,4.71,0.1,1.29,5.72,0.17,0.28,4.65,1.69,1.15,1.88,2.51,3.79,2020-04-29,GB
8994,5.85,0.11,0.3,4.41,0.13,1.2,5.19,0.17,0.29,4.5,1.67,1.15,1.68,2.52,3.74,2020-04-30,GB
8995,5.05,0.1,0.25,4.17,0.07,1.16,5.04,0.2,0.24,4.38,1.43,1.08,1.75,2.52,3.66,2020-05-01,GB
